Location,Address,Date,Time,Health advice,Flight number,Airline,Origin / destination,Date of arrival,Close contact rows
Indian Ocean Brewing Co,"33 Ocean Falls Boulevard, Mindarie",24/06/2021,1.30pm - 9.30pm,Get tested immediately and quarantine until you receive a negative result,,,,,
"Core Wealth Financial Planning, Hillarys","Suite F1/45 Northside Drive, Hillarys",24/06/2021,8.00am - 5.00pm,Get tested immediately and quarantine for 14 days,,,,,
Connolly Primary School  Year 5 class and high risk contacts identified by Public Health,"169 Fairway Circle, Connolly  Note: The entire Year 5 class are close contacts and must get tested and quarantine for 14 days.  Contact tracing is underway for high risk close contacts.  Continue monitoring this page for updates.",24/06/2021,11.30am – 2.00pm,Get tested immediately and quarantine for 14 days,,,,,
"Mobius Health and Performance, Joondalup","2/7 Packard Street, Joondalup",24/06/2021,5.00am - 8.00am and  4.30pm - 7.00pm,Get tested immediately and quarantine for 14 days,,,,,
Currambine Central Shopping Centre,"Currambine Central Shopping Centre, Currambine",24/06/2021,4.00pm – 6.00pm,Monitor for symptoms,,,,,
Burbridge School,"46 Burbridge Ave, Koondoola  Contact tracing is underway for high risk close and casual contacts. Continue monitoring this page for updates.",24/06/2021,8.30am – 12.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Coles Clarkson,"Ocean Keys Shopping Centre, Clarkson",23/06/2021,6.15pm – 7.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Kmart (west side of centre) Clarkson,"Ocean Keys Shopping Centre, Clarkson",23/06/2021,6.00pm – 6.30pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Ocean Keys Shopping Centre,"Ocean Keys Shopping Centre, Clarkson",23/06/2021,5.00pm – 7.00pm,Monitor for symptoms,,,,,
"Mobius Health and Performance, Joondalup","2/7 Packard Street, Joondalup",23/06/2021,9.00am - 11.30am and  2.30pm - 6.00pm,Get tested immediately and quarantine for 14 days,,,,,
"Mobius Health and Performance, Joondalup","2/7 Packard Street, Joondalup",22/06/2021,9.00am - 11.30am and  3.00pm - 6.00pm,Get tested immediately and quarantine for 14 days,,,,,
PUMA Mindarie,"22 Anchorage Drive, Mindarie",22/06/2021,5.30pm – 6.30pm,Get tested immediately and quarantine until you receive a negative result,,,,,
IKEA Perth,"6 Sunray Drive, off Ellen Stirling Boulevard, Innaloo",22/06/2021,12.00pm – 2.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Koondoola Primary School,"50 Burbridge Ave, Koondoola  Contact tracing is underway for high risk close and casual contacts. Continue monitoring this page for updates.",22/06/2021,11.00am – 1.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Burbridge School,"46 Burbridge Ave, Koondoola  Contact tracing is underway for high risk close and casual contacts. Continue monitoring this page for updates.",22/06/2021,11.00am – 1.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Indian Ocean Brewing Co,"33 Ocean Falls Boulevard, Mindarie",22/06/2021,6.00pm – 8.30pm,Get tested immediately and quarantine for 14 days,,,,,
Connolly Primary School,"169 Fairway Circle, Connolly  Note: All students, staff and visitors during this timeframe are casual contacts unless advised otherwise by Public Health.  Closed for the remainder of term 2",24/06/2021,11.30am – 2.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Connolly Primary School  Year 5 class and high risk contacts identified by Public Health,"169 Fairway Circle, Connolly  Note: Closed for the remainder of term 2",24/06/2021,11.30am – 2.00pm,Get tested immediately and quarantine for 14 days,,,,,
Burbridge School,"46 Burbridge Ave, Koondoola  Note: Closed for the remainder of term 2",24/06/2021,8.30am – 12.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Koondoola Primary School,"50 Burbridge Ave, Koondoola  Note: All students, staff and visitors during this timeframe are casual contacts unless advised otherwise by Public Health  Closed for the remainder of term 2",22/06/2021,11.00am – 1.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
Burbridge School,"46 Burbridge Ave, Koondoola  Note: Closed for the remainder of term 2",22/06/2021,11.00am – 1.00pm,Get tested immediately and quarantine until you receive a negative result,,,,,
,,,,Monitor for symptoms,EK420,Emirates,Dubai to Perth,10/07/2021,"41, 42, 43, 44, 45"
